BIBTEXKEY;TITLE;DOI;citations
PUB00059180;La qualité du bassin d'Arcachon. De quoi parlons-nous ? Trois enquêtes croisées auprès d'acteurs et d'usagers;10.4000/soe.3971;
PUB00059269;Entre protection et ouverture : quels effets de la politique d'usage des sols sur les dynamiques de marché foncier sur le littoral Aquitain ?;10.4000/soe.4034;
PUB00059463;Evaluating sustainability of farms: introducing a new conceptual framework based on three dimensions and five key properties relating to the sustainability of agriculture. The IDEA method version 4;hal-01851634;
PUB00059542;Quel appui à la décision publique pour la gouvernance des territoires à enjeu eau ?;hal-02267202;
PUB00060050;Enhancing asset knowledge to improve French public policies for sustainable drinking water asset management;hal-02267205;
PUB00060315;Quels écotourismes sur le bassin d'Arcachon ? Diversités et contradiction sur une territoire confronté à son attractivité résidentielle;10.4000/soe.4263;
PUB00060489;Key performance indicators to enhance water distribution network resilience in three-stages;hal-2264086;
PUB00060732;Pesticide Use and Risk Aversion in the French Wine Sector;10.1017/jwe.2018.55;
PUB00061124;L'acquisition foncière du conservatoire du littoral au service de patrimoines communs;10.4000/soe.4223;
PUB00061139;Le bassin d'Arcachon entre attractivité et protection (avant propos);hal-01971555;
PUB00061854;Exploring heterogeneity in environmental attitudes and preferences for removing micropollutant in urban wastewater: a discrete choice experiment;???;0
PUB00062009;Assessing SWAT model performance using gridded SAFRAN/ CFSR and conventional weather station datasets at different hydrometeorological spatial and temporal resolutions: A case study on the 10,000 km² Charente river basin S-W France;???;0
PUB00061421;Évaluer la durabilité des exploitations agricoles : La méthode IDEA v4, un cadre conceptuel combinant dimensions et propriétés de la durabilité;10.1051/cagri/2019004 ;
PUB00061618;A decision-making information system to support the governance of territories with water issues;10.3390/su4112922;
PUB00061733;Gouverner les enjeux et les risques littoraux : des stratégies de façade (maritime) ? Une analyse de trois stratégies nationales sur le littoral français;hal-02267363;
PUB00063943;Evaluation de la performance économique globale des exploitations agricoles: cadre conceptuel et applications;???;0
PUB00064018;Une évaluation multicritère des performances socio-économiques et environnementale d'exploitations viticoles bordelaises dans le cadre de la transition agroécologique;???;0
PUB00064022;Évaluation des performances socio-économiques et environnementales de systèmes viticoles en bordelais  par une méthode multicritère d'aide à la décision;10.13140/RG.2.2.32797.87526;
PUB00063615;Quels territoires pertinentes pour écologiser les industries qui misent sur le renouvelable ?;???;0
PUB00063393;;;2
PUB00050895;;;9
PUB00062059;;;0
PUB00055822;;;0
PUB00055455;;;9
PUB00055425;;;4
PUB00052716;;;5
PUB00056630;;;4
PUB00061702;;;1
PUB00055157;;;0
PUB00055642;;;1
PUB00059456;;;1
PUB00062068;;;0
PUB00063395;;;0
PUB00061438;;;0
PUB00054782;;;5
PUB00055060;;;0
PUB00057322;;;3
PUB00063697;;;0
PUB00060486;;;1
