"Journal Data Filtered By:  Selected JCR Year: 2019 Selected Editions: SCIE Selected Categories: 'ENGINEERING, MULTIDISCIPLINARY' Selected Category Scheme: WoS",,,,
Rank,Full Journal Title,Total Cites,Journal Impact Factor,Eigenfactor Score
80,Tehnicki Vjesnik-Technical Gazette,"1,199",0.670,0.001430
81,JOURNAL OF THE CHINESE INSTITUTE OF ENGINEERS,739,0.667,0.000570
82,INTERNATIONAL JOURNAL OF ENGINEERING EDUCATION,"1,429",0.653,0.000990
83,Ingenieria e Investigacion,233,0.627,0.000280
84,INDIAN JOURNAL OF ENGINEERING AND MATERIALS SCIENCES,874,0.521,0.000410
85,NOISE CONTROL ENGINEERING JOURNAL,516,0.453,0.000450
86,Journal of Marine Science and Technology-Taiwan,647,0.444,0.000560
87,INSTRUMENTS AND EXPERIMENTAL TECHNIQUES,980,0.443,0.000800
88,RUSSIAN JOURNAL OF NUMERICAL ANALYSIS AND MATHEMATICAL MODELLING,216,0.439,0.000270
89,Journal of Engineering Research,160,0.387,0.000150
90,Revista Internacional de Metodos Numericos para Calculo y Diseno en Ingenieria,109,0.338,0.000150
91,SAMPE JOURNAL,196,0.174,0.000080
Copyright © 2020 Clarivate Analytics,,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,,
